12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|1|200|FREE|PRE|M|Noah|MASCOLL-GOMES|1999|165.0|63.0|23.140496|0.027622|1.74019|114.93
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|1|200|FREE|PRE|M|Mikel|SCHREUDERS|1998|189.0|90.0|25.195263|0.019848|1.786352|111.96000000000001
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|1|200|FREE|PRE|M|Alex|SOBERS|1998|170.0|66.0|22.83737|0.026|1.716002|116.55
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|1|200|FREE|PRE|M|Felix|AUBOECK|1996|198.0|85.0|21.681461|0.022137|1.881645|106.28999999999999
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|1|200|FREE|PRE|M|James|GUY|1995|188.0|84.0|23.76641|0.023053|1.936483|103.28
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|1|200|FREE|PRE|M|Cameron|MCEVOY|1994|182.0|70.0|21.132713|0.02764|1.934797|103.37
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|1|200|FREE|PRE|M|Filip|ZABOROWSKI|1994|188.0|77.0|21.785876|0.023977|1.846211|108.33
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|1|200|FREE|PRE|M|Clement|MIGNON|1993|188.0|82.0|23.200543|0.0235|1.926968|103.78999999999999
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|1|200|FREE|PRE|M|Yuki|KOBORI|1993|183.0|77.0|22.992624|0.024718|1.903312|105.08
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|1|200|FREE|PRE|M|Jessie Khing|LACUNA|1993|170.0|70.0|24.221453|0.025824|1.807664|110.64
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|1|200|FREE|PRE|M|Peter|BERNEK|1992|191.0|85.0|23.2998|0.022877|1.944579|102.85
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|1|200|FREE|PRE|M|Myles|BROWN|1992|188.0|80.0|22.634676|0.02412|1.929571|103.65
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|1|200|FREE|PRE|M|Cristian|QUINTERO|1992|195.0|90.0|23.668639|0.021701|1.953125|102.4
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|1|200|FREE|PRE|M|Federico|GRABICH|1990|193.0|92.0|24.69865|0.020273|1.86515|107.22999999999999
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|1|200|FREE|PRE|M|Clemens|RAPP|1989|193.0|85.0|22.819405|0.022577|1.919017|104.22
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|1|200|FREE|PRE|M|Ahmed|MATHLOUTHI|1989|190.0|90.0|24.930748|0.020529|1.847575|108.25
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|1|200|FREE|PRE|M|Pieter|TIMMERS|1988|200.0|89.0|22.25|0.021744|1.935172|103.35
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|1|200|FREE|PRE|M|David|BRANDL|1987|188.0|85.0|24.049344|0.022248|1.891074|105.75999999999999
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|1|200|FREE|PRE|M|Oussama|MELLOULI|1984|192.0|84.0|22.786458|0.022841|1.918649|104.24000000000001
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|1|200|FREE|PRE|M|Filippo|MAGNINI|1982|187.0|80.0|22.877406|0.024269|1.941559|103.00999999999999
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|101|200|FREE|FIN|M|Peter|BERNEK|1992|191.0|85.0|23.2998|0.022969|1.952362|102.44
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|101|200|FREE|FIN|M|Cristian|QUINTERO|1992|195.0|90.0|23.668639|0.021481|1.933301|103.45
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|102|50|BREAST|FIN|F|Ruta|MEILUTYTE|1997|176.0|75.0|24.212293|0.023116|1.733703|28.84
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|102|50|BREAST|FIN|F|Moniek|NIJHUIS|1988|179.0|67.0|20.910708|0.025178|1.68691|29.64
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|102|50|BREAST|FIN|F|Jennie|JOHANSSON|1988|188.0|71.0|20.088275|0.023482|1.667222|29.99
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|102|50|BREAST|FIN|F|Sally|HUNTER|1985|172.0|60.0|20.281233|0.027576|1.654533|30.22
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|103|100|BACK|FIN|M|Radoslaw|KAWECKI|1991|186.0|77.0|22.256908|0.025917|1.99561|50.11
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|103|100|BACK|FIN|M|Ryosuke|IRIE|1990|178.0|66.0|20.830703|0.03023|1.995211|50.12
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|103|100|BACK|FIN|M|Eugene|GODSOE|1988|187.0|77.0|22.019503|0.025768|1.984127|50.4
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|103|100|BACK|FIN|M|Matt|GREVERS|1985|203.0|113.0|27.421194|0.017657|1.995211|50.12
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|104|200|FLY|FIN|F|Yufei|ZHANG|1998|175.0|66.0|21.55102|0.02426|1.601153|124.91
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|104|200|FLY|FIN|F|Alessia|POLIERI|1994|163.0|55.0|20.700817|0.02897|1.593372|125.52
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|105|100|BREAST|FIN|M|Kirill|PRIGODA|1995|193.0|87.0|23.356332|0.020098|1.748557|57.19
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|105|100|BREAST|FIN|M|Adam|PEATY|1994|193.0|88.0|23.624795|0.020166|1.774623|56.35
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|105|100|BREAST|FIN|M|Yasuhiro|KOSEKI|1992|188.0|80.0|22.634676|0.021907|1.752541|57.06
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|105|100|BREAST|FIN|M|Cameron|VAN DER BURGH|1988|185.0|85.0|24.835646|0.020713|1.760563|56.8
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|105|100|BREAST|FIN|M|Damir|DUGONJIC|1988|202.0|105.0|25.732771|0.016691|1.752541|57.06
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|106|100|BACK|FIN|F|Kathleen|BAKER|1997|173.0|67.0|22.386314|0.026153|1.752234|57.07
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|107|100|FLY|FIN|M|Kosuke|HAGINO|1994|177.0|71.0|22.662709|0.02822|2.003606|49.91
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|107|100|FLY|FIN|M|Tommaso|D'ORSOGNA|1990|190.0|82.0|22.714681|0.024587|2.016129|49.6
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|108|400|MEDLEY|FIN|F|Barbora|ZAVADOVA|1993|177.0|68.0|21.705129|0.02171|1.476287|270.95
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|108|400|MEDLEY|FIN|F|Sakiko|SHIMIZU|1992|156.0|50.0|20.545694|0.029313|1.465631|272.92
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|108|400|MEDLEY|FIN|F|Elizabeth|BEISEL|1992|168.0|63.0|22.321429|0.023909|1.506251|265.56
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|108|400|MEDLEY|FIN|F|Hannah|MILEY|1989|165.0|53.0|19.467401|0.028508|1.510916|264.74
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|112|100|FREE|FIN|F|Miki|UCHIDA|1995|173.0|62.0|20.715694|0.03081|1.91022|52.35
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|112|100|FREE|FIN|F|Bronte|CAMPBELL|1994|179.0|60.0|18.726007|0.032268|1.936108|51.65
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|112|100|FREE|FIN|F|Sarah|SJOSTROM|1993|182.0|75.0|22.642193|0.025945|1.945904|51.39
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|112|100|FREE|FIN|F|Michelle|COLEMAN|1993|186.0|74.0|21.389756|0.026028|1.92604|51.92
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|112|100|FREE|FIN|F|Veronika|POPOVA|1991|182.0|68.0|20.528922|0.028038|1.906578|52.45
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|112|100|FREE|FIN|F|Ranomi|KROMOWIDJOJO|1990|179.0|69.0|21.534908|0.028158|1.942879|51.47
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|112|100|FREE|FIN|F|Femke|HEEMSKERK|1987|180.0|68.0|20.987654|0.028627|1.946661|51.37
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|113|400|MEDLEY|FIN|M|Semen|MAKOVICH|1995|180.0|76.0|23.45679|0.021262|1.6159|247.54
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|113|400|MEDLEY|FIN|M|Kosuke|HAGINO|1994|177.0|71.0|22.662709|0.02336|1.658581|241.17
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|113|400|MEDLEY|FIN|M|Daiya|SETO|1994|174.0|73.0|24.111507|0.023186|1.692549|236.32999999999998
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|113|400|MEDLEY|FIN|M|David|VERRASZTO|1988|181.0|74.0|22.587833|0.022353|1.654123|241.82
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|113|400|MEDLEY|FIN|M|Gal|NEVO|1987|180.0|80.0|24.691358|0.020162|1.612968|247.99
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|114|50|FLY|FIN|F|Sarah|SJOSTROM|1993|182.0|75.0|22.642193|0.027122|2.034174|24.58
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|114|50|FLY|FIN|F|Melanie|HENIQUE|1992|172.0|60.0|20.281233|0.032362|1.941748|25.75
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|114|50|FLY|FIN|F|Ying|LU|1989|175.0|65.0|21.22449|0.030513|1.98334|25.21
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|114|50|FLY|FIN|F|Jeanette|OTTESEN|1987|180.0|72.0|22.222222|0.028104|2.023472|24.71
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|114|50|FLY|FIN|F|Aleksandra|URBANCZYK|1987|172.0|64.0|21.633315|0.030458|1.949318|25.65
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|114|50|FLY|FIN|F|Inge|DEKKER|1985|183.0|67.0|20.006569|0.030177|2.021836|24.73
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|115|50|FREE|FIN|M|Cameron|MCEVOY|1994|182.0|70.0|21.132713|0.033772|2.364066|21.15
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|115|50|FREE|FIN|M|Clement|MIGNON|1993|188.0|82.0|23.200543|0.02856|2.34192|21.35
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|115|50|FREE|FIN|M|Vladimir|MOROZOV|1992|185.0|83.0|24.251278|0.028837|2.39349|20.89
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|116|100|MEDLEY|FIN|F|Ruta|MEILUTYTE|1997|176.0|75.0|24.212293|0.022703|1.702707|58.73
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|116|100|MEDLEY|FIN|F|Melanie|MARGALIS|1991|173.0|65.0|21.718066|0.026138|1.698947|58.86
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|119|800|FREE|FHT|F|Maria|VILAS VIDAL|1996|168.0|64.0|22.675737|0.025059|1.603785|498.82
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|119|800|FREE|FHT|F|Yue|CAO|1995|178.0|72.0|22.724403|0.021798|1.569428|509.74
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|119|800|FREE|FHT|F|Sarah|KOHLER|1994|179.0|67.0|20.910708|0.024021|1.609399|497.08
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|119|800|FREE|FHT|F|Boglarka|KAPAS|1993|168.0|52.0|18.424036|0.030997|1.611863|496.32
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|119|800|FREE|FHT|F|Julia|HASSLER|1993|177.0|73.0|23.301095|0.021664|1.581496|505.85
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|119|800|FREE|FHT|F|Sharon|VAN ROUWENDAAL|1993|173.0|65.0|21.718066|0.025212|1.638773|488.17
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|119|800|FREE|FHT|F|Elizabeth|BEISEL|1992|168.0|63.0|22.321429|0.025208|1.588121|503.74
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|119|800|FREE|FHT|F|Hannah|MILEY|1989|165.0|53.0|19.467401|0.030183|1.599712|500.09
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|12|100|FREE|PRE|F|Anna|MANCHENKOVA|1999|175.0|65.0|21.22449|0.025581|1.662787|60.14
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|12|100|FREE|PRE|F|Elena|GIOVANNINI|1999|161.0|56.0|21.604105|0.030349|1.699524|58.84
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|12|100|FREE|PRE|F|Kimiko|RAHEEM|1999|165.0|51.0|18.732782|0.033587|1.712915|58.38
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|12|100|FREE|PRE|F|Amarah|PHILLIP|1998|164.0|50.0|18.590125|0.032175|1.608752|62.16
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|12|100|FREE|PRE|F|Lena|KREUNDL|1997|174.0|69.0|22.790329|0.026868|1.853912|53.94
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|12|100|FREE|PRE|F|Jamila|SANMOOGAN|1997|143.0|58.0|28.363245|0.026747|1.55135|64.46
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|12|100|FREE|PRE|F|Julie|MEYNEN|1997|170.0|63.0|21.799308|0.029205|1.839926|54.35
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|12|100|FREE|PRE|F|Charlotte|BONNET|1995|175.0|64.0|20.897959|0.029431|1.883594|53.09
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|12|100|FREE|PRE|F|Talita|BAQLAH|1995|172.0|62.0|20.957274|0.027661|1.714972|58.31
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|12|100|FREE|PRE|F|Miki|UCHIDA|1995|173.0|62.0|20.715694|0.030232|1.874414|53.35
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|12|100|FREE|PRE|F|Bronte|CAMPBELL|1994|179.0|60.0|18.726007|0.031644|1.898614|52.67
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|12|100|FREE|PRE|F|Pernille|BLUME|1994|171.0|60.0|20.519134|0.031281|1.876877|53.28
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|12|100|FREE|PRE|F|Estellah|FILS RABETSARA|1994|167.0|59.0|21.155294|0.026763|1.57903|63.33
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|12|100|FREE|PRE|F|Monica|RAMIREZ ABELLA|1993|170.0|55.0|19.031142|0.031527|1.734004|57.67
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|12|100|FREE|PRE|F|Anna|SANTAMANS|1993|177.0|61.0|19.470778|0.030107|1.836547|54.45
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|12|100|FREE|PRE|F|Julia|HASSLER|1993|177.0|73.0|23.301095|0.023936|1.747335|57.23
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|12|100|FREE|PRE|F|Sarah|SJOSTROM|1993|182.0|75.0|22.642193|0.025426|1.906941|52.44
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|12|100|FREE|PRE|F|Michelle|COLEMAN|1993|186.0|74.0|21.389756|0.025589|1.893581|52.81
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|12|100|FREE|PRE|F|Karen|TORREZ|1992|165.0|59.0|21.671258|0.03055|1.802451|55.48
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|12|100|FREE|PRE|F|Veronika|POPOVA|1991|182.0|68.0|20.528922|0.027742|1.886437|53.01
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|12|100|FREE|PRE|F|Shannon|VREELAND|1991|188.0|79.0|22.351743|0.023974|1.893939|52.8
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|12|100|FREE|PRE|F|Nina|RANGELOVA|1990|170.0|56.0|19.377163|0.033161|1.85701|53.85
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|12|100|FREE|PRE|F|Tracy|KEITH-MATCHITT|1990|180.0|69.0|21.296296|0.025587|1.765537|56.64
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|12|100|FREE|PRE|F|Ranomi|KROMOWIDJOJO|1990|179.0|69.0|21.534908|0.027521|1.898975|52.66
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|12|100|FREE|PRE|F|Daniela|SCHREIBER|1989|185.0|65.0|18.991965|0.028427|1.847746|54.12
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|12|100|FREE|PRE|F|Margarita|NESTEROVA|1989|168.0|57.0|20.195578|0.032032|1.825817|54.77
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|12|100|FREE|PRE|F|Elsie|UWAMAHORO|1988|165.0|54.0|19.834711|0.025147|1.357958|73.64
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|12|100|FREE|PRE|F|Birgit|KOSCHISCHEK|1987|169.0|61.0|21.357796|0.030213|1.842978|54.26
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|12|100|FREE|PRE|F|Femke|HEEMSKERK|1987|180.0|68.0|20.987654|0.028043|1.906941|52.44
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|12|100|FREE|PRE|F|Erika|FERRAIOLI|1986|180.0|65.0|20.061728|0.029099|1.891432|52.87
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|121|50|BACK|FIN|M|Eugene|GODSOE|1988|187.0|77.0|22.019503|0.028171|2.169197|23.05
12th FINA World Swimming Championships (25m)|Doha|QAT|SCM|121|50|BACK|FIN|M|Albert|SUBIRATS|1986|190.0|85.0|23.545706|0.025399|2.158895|23.16
